#Title: Hauptstadt Baku, Monatsmittelwerte (nach klimadiagramm.de, ohne Angabe der Messreihe)
#monat niederschlagsmittel temperaturmittel
1  21 4.2
2  20 4.0
3  21 6.3
4  18 12.3
5  18 18.0
6  8  22.8
7  2  26.4
8  6  25.6
9  15 21.8
10 25 16.0
11 30 10.8
12 26 6.6
